INPUT:RltmDpstAplcTrgtInqyInptDTO
보험료납입구분코드	premPaymDvsnCode	String	0	OBJECT
단체수금청구SUID	grouCltnBingSuid	BigDecimal	0	OBJECT
입출금채널구분코드	pyioChnlDvsnCode	String	0	OBJECT
계약상태코드	cntcSttsCode	String	0	OBJECT
증권번호	polyNo	String	0	OBJECT
계약자고객ID	polrCustId	String	0	OBJECT
계약자고객명	polrCustNm	String	0	OBJECT
입금접수채널코드	dpstReptChnlCode	String	0	OBJECT
수금인고유번호	aentUniqNo	String	0	OBJECT
수금기관코드	cltnOrgnCode	String	0	OBJECT
송금일자	remtDate	Date	0	OBJECT
송금말일경과일수	remtLsdyElapNbds	int	0	OBJECT
영수일자	rcipDate	Date	0	OBJECT
승인대상여부	aprvTrgtYn	String	0	OBJECT
결제수단SUID	stlmMeanSuid	BigDecimal	0	OBJECT
특별처리대상신청SUID	spclPrcsTrgtAplcSuid	BigDecimal	0	OBJECT
예금주명	achrNm	String	0	OBJECT
계좌번호	acntNo	String	0	OBJECT
신규계좌여부	newAcntYn	String	0	OBJECT
금융기관구분코드	fnncOrgnDvsnCode	String	0	OBJECT
금융기관코드	fnncOrgnCode	String	0	OBJECT
예약여부	rsvtYn	String	0	OBJECT
즉시이체예약일시	imdtTrsfRsvtDttm	Date	0	OBJECT
가상계좌입금신청구분코드	vrtlAcntDpstAplcDvsnCode	String	0	OBJECT
가상계좌POOL_SUID	vrtlAcntPoolSuid	BigDecimal	0	OBJECT
가상계좌번호	vrtlAcntNo	String	0	OBJECT
출금동의계좌등록신청SUID	wtdwAgrmAcntRgstAplcSuid	BigDecimal	0	OBJECT
출금동의자료구분코드	wtdwAgrmDataDvsnCode	String	0	OBJECT
출금동의자료주소	wtdwAgrmDataAddr	String	0	OBJECT
LMS발송여부	lmsSendYn	String	0	OBJECT
연락처SUID	cnplSuid	BigDecimal	0	OBJECT
대리인명	agntNm	String	0	OBJECT
대리인주민등록번호	agntRrno	String	0	OBJECT
입금접수방법코드	dpstReptMthdCode	String	0	OBJECT

INPUT:RltmDpstAplcReptIndvInptDTO
증권번호	polyNo	String	0	OBJECT
계약자고객ID	polrCustId	String	0	OBJECT
AGREEMENT구분코드	agmtDvsnCode	String	0	OBJECT
상품유형상세코드	prodTypeDetlCode	String	0	OBJECT
계약AGREEMENT_ID	cntcAgmtId	Long	0	OBJECT
계약AGREEMENT번호	cntcAgmtNo	String	0	OBJECT
가입상품AGREEMENT_ID	incvAgmtId	Long	0	OBJECT
가입상품AGREEMENT번호	incvAgmtNo	String	0	OBJECT
상품목코드	prodItcd	String	0	OBJECT
상품세코드	prodDtcd	String	0	OBJECT
기본보험료납입횟수	basePremPaymNotm	Integer	0	OBJECT
추가납입보험료	addnPaymPrem	BigDecimal	0	OBJECT
자유납입기본보험료	freePaymBasePrem	BigDecimal	0	OBJECT
자유납입추가보험료	freePaymAddnPrem	BigDecimal	0	OBJECT
선납할인보험료	pyadDsctPrem	BigDecimal	0	OBJECT
실납입보험료	acpyPrem	BigDecimal	0	OBJECT

OUTPUT:RltmDpstAplcRsltDTO
증권번호	polyNo	String	0	OBJECT
고액계약할인보험료	lgamCntcDsctPrem	BigDecimal	0	OBJECT
주계약고액할인보험료	mcntLgamDsctPrem	BigDecimal	0	OBJECT
추가납입고액할인보험료	addnPaymLgamDsctPrem	BigDecimal	0	OBJECT
선납할인보험료	pyadDsctPrem	BigDecimal	0	OBJECT
할인보험료	dsctPrem	BigDecimal	0	OBJECT
추가보험료	addnPrem	BigDecimal	0	OBJECT
자유납입추가보험료	freePaymAddnPrem	BigDecimal	0	OBJECT
수금보험료	cltnPrem	BigDecimal	0	OBJECT
실납입보험료	acpyPrem	BigDecimal	0	OBJECT
입금처리결과코드	dpstPrcsRsltCode	String	0	OBJECT
보험료변동사유내용	premVrbeResnCntn	String	0	OBJECT
보험료변동대상여부	premVrbeTrgtYn	String	0	OBJECT
검증여부	vrfcYn	String	0	OBJECT
수정가능여부	altrElglYn	String	0	OBJECT
입금처리결과내용	dpstPrcsRsltCntn	String	0	OBJECT
입출금처리신청SUID	pyioPrcsAplcSuid	BigDecimal	0	OBJECT
영수증번호	rcptNo	String	0	OBJECT
수표관리SUID	chckMgmtSuid	BigDecimal	0	OBJECT
가상계좌번호	vrtlAcntNo	String	0	OBJECT
수금관리기관코드	cltnOrgnCode	String	0	OBJECT
실명확인여부 	rlnmCnfmYn	String	0	OBJECT
할인사항	indvPaymDsctMatrInqyRsltList		0	ARRAY
보험료할인여부	premDsctYn	String	0	OBJECT

OUTPUT:IndvPaymDsctMatrInqyRsltListDTO
증권번호	polyNo	String	0	OBJECT
계약AGREEMENT번호	cntcAgmtNo	String	0	OBJECT
보험종류세코드	isrnKindDtcd	String	0	OBJECT
보험종류목코드	isrnKindItcd	String	0	OBJECT
보험종류명	isrnKindNm	String	0	OBJECT
계약자명	polrNm	String	0	OBJECT
